Data_Source,Airline_Name,Boarding,Cabin_Staff_Service,Comfort,Entertainment,Food_And_Beverages,Overall_Airline_Rating,Mention,Number_Evaluation
Kayak,9-air,"7,3","8,1","6,4","5,8","6,4","6,9",Bien,72
Kayak,adria-airways,"7,6",8,"7,3","6,3","6,2","7,3",Bien,353
Kayak,aegean-airlines,8,"8,5",8,"6,7","7,7","7,8",Bien,2837
Kayak,aer-lingus,"7,6",8,"7,3","7,1","6,8","7,4",Bien,5904
Kayak,aeroflot,8,"8,3","7,8","7,5","7,5","7,8",Bien,8368
Kayak,aerolineas-argentinas,"7,9","8,1","7,5","6,5","6,6","7,4",Bien,2163
Kayak,aeromar,"7,2",8,"7,4","6,3","7,1","7,3",Bien,202
Kayak,aeromexico,"7,5","7,9","7,4","7,3",7,"7,4",Bien,8782
Kayak,africa-world-airlines,"8,5",9,"7,5",6,5,"7,5",Bien,4
Kayak,african-express-airways,10,10,6,10,10,9,Excellent,1
Kayak,afrijet-business-services,10,10,10,10,10,10,Excellent,1
Kayak,aigle-azur,"5,8","6,5","5,9","4,8",5,"5,8",Correct,103
Kayak,air-algerie,"6,3","6,6","6,3","5,6","5,9","6,2",Bien,77
Kayak,air-alsie,10,10,10,7,8,"9,2",Excellent,2
Kayak,air-arabia,"7,1","7,4",7,"5,2","6,8","6,7",Bien,74
Kayak,air-arabia-maroc,"7,4","7,3","7,1","5,9","6,1","6,9",Bien,43
Kayak,air-astana,"8,2","8,5","8,3","7,2",8,"8,1",Excellent,243
Kayak,air-austral,7,"8,1","7,6","6,4","7,5","7,3",Bien,35
Kayak,air-belgium,8,8,"6,7","7,7",8,"7,7",Bien,18
Kayak,air-botswana,"7,6","7,8","7,4",6,"6,8","7,2",Bien,53
Kayak,air-burkina,"6,9","8,2",7,"4,8","6,2","6,8",Bien,20
Kayak,air-busan,"8,1","8,6","8,2",7,7,"7,8",Bien,58
Kayak,air-cairo,8,9,8,7,8,8,Excellent,3
Kayak,air-canada,"7,4","7,7","7,1","6,9","6,5","7,1",Bien,24379
Kayak,air-caraibes,"6,3","7,3","6,6","6,8","6,6","6,7",Bien,45
Kayak,air-changan,6,6,6,6,6,6,Bien,2
Kayak,air-china,"6,8",7,"6,5","6,1","6,1","6,5",Bien,5574
Kayak,air-choice-one,"8,9",9,"8,5","7,6","6,6","8,3",Excellent,56
Kayak,air-corsica,"8,6",9,"8,7","7,2","7,5","8,1",Excellent,57
Kayak,air-creebec,"9,6","9,6","9,6","8,4","9,6","9,4",Excellent,10
Kayak,air-cote-d'ivoire,"7,4","8,3","7,8","5,9","6,9","7,3",Bien,73
Kayak,air-do,"7,6",8,"7,8",7,"6,9","7,5",Bien,13
Kayak,air-dolomiti,"8,2","8,7","8,2","7,5","7,8","8,1",Excellent,752
Kayak,air-europa,"7,2","7,6","6,9","6,3","6,5","6,9",Bien,3052
Kayak,air-france,"7,6","8,2","7,3","6,8","7,1","7,4",Bien,3885
Kayak,air-greenland,"9,3","9,7","9,3","6,7","8,7","8,8",Excellent,13
Kayak,air-guyane-express,"6,5","7,6","6,9","6,3","6,7","6,9",Bien,20
Kayak,air-iceland-connect,"8,5","8,5","7,7",7,"6,4","7,8",Bien,27
Kayak,air-india,"6,7","6,9","6,5","5,8","6,5","6,5",Bien,6465
Kayak,air-india,"6,7","6,9","6,5","5,8","6,5","6,5",Bien,63
Kayak,air-india-regional,"6,2","6,8","6,5","5,9","6,4","6,3",Bien,63
Kayak,air-italy,"6,9","7,7","6,8","6,1","6,6","6,7",Bien,249
Kayak,air-kbz,"8,5","9,5","9,2","7,2","8,7","8,7",Excellent,16
Kayak,air-macau,"6,8","7,8",6,"3,7","6,8","6,3",Bien,95
Kayak,air-madagascar,"4,4","6,2","4,8",4,"4,1","4,6",Correct,18
Kayak,air-malta,8,"8,3","7,6","6,1","6,8","7,5",Bien,256
Kayak,air-manas,"7,5","7,7","7,3","5,9","6,2",7,Bien,25
Kayak,air-mauritius,"7,3","7,7","6,2","5,3","6,5","6,6",Bien,79
Kayak,air-moldova,"7,3","8,1","7,2","6,2","7,4","7,3",Bien,88
