,Data_Source,Airline_Name,Aircraft_Type,Cabin_Class,Type_Of_Lounge,Type_Of_Traveller,Date_Visit,Date_Flown,Airport,Route,Cabin_Staff_Service,Lounge_Staff_Service,Bar_And_Beverages,Food_And_Beverages,Ground_Service,Catering,Cleanliness,Comfort,Aisle_Space,Wifi_And_Connectivity,Inflight_Entertainment,Viewing_Tv_Screen,Power_Supply,Seat,Seat_Type,Seat_Comfort,Seat_Legroom,Seat_Storage,Seat_Width,Seat_Recline,Washrooms,Value_For_Money,Overall_Customer_Rating,Recommended,Date_Review,Review,Sentence,LABEL_SEAT,LABEL_BED,LABEL_IFE,LABEL_FOOD,LABEL_NOISE,LABEL_TEMPERATURE,LABEL_HUMIDITY,LABEL_CABIN CREW,LABEL_LAVATORY SPACE,LABEL_PRICE,LABEL_LOST BAGGAGE,LABEL_CHECK IN,LABEL_PUNCTUALITY,LABEL_ATTRACTIVE AIRCRAFT,LABEL_SAV,LABEL_BOARDING,LABEL_GENERAL,Unnamed: 54
0,Airline Quality Airline,adria-airways,A319,Economy Class,,Family Leisure,,August 2015,,Manchester to Ljubljana,5,,,,5,,,,,,,,,,,5,,,,,,4,1,yes,2nd September 2015,Excellent flights both ways with Adria Airways from Manchester to Ljubljana. Staff friendly but unobtrusive. Leg room far better than most economy flights  seats comfy and plenty of storage space. Flights on time  quick and efficient boarding and disembarking  smooth take offs and landings. All in all a very pleasant experience.,excellent flights both ways with adria airways from manchester to ljubljana,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,
1,Airline Quality Airline,adria-airways,A319,Economy Class,,Family Leisure,,August 2015,,Manchester to Ljubljana,5,,,,5,,,,,,,,,,,5,,,,,,4,1,yes,2nd September 2015,Excellent flights both ways with Adria Airways from Manchester to Ljubljana. Staff friendly but unobtrusive. Leg room far better than most economy flights  seats comfy and plenty of storage space. Flights on time  quick and efficient boarding and disembarking  smooth take offs and landings. All in all a very pleasant experience.,staff friendly but unobtrusive,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
2,Airline Quality Airline,adria-airways,A319,Economy Class,,Family Leisure,,August 2015,,Manchester to Ljubljana,5,,,,5,,,,,,,,,,,5,,,,,,4,1,yes,2nd September 2015,Excellent flights both ways with Adria Airways from Manchester to Ljubljana. Staff friendly but unobtrusive. Leg room far better than most economy flights  seats comfy and plenty of storage space. Flights on time  quick and efficient boarding and disembarking  smooth take offs and landings. All in all a very pleasant experience.,leg room far better than most economy flights  seats comfy and plenty of storage space,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
3,Airline Quality Airline,adria-airways,A319,Economy Class,,Family Leisure,,August 2015,,Manchester to Ljubljana,5,,,,5,,,,,,,,,,,5,,,,,,4,1,yes,2nd September 2015,Excellent flights both ways with Adria Airways from Manchester to Ljubljana. Staff friendly but unobtrusive. Leg room far better than most economy flights  seats comfy and plenty of storage space. Flights on time  quick and efficient boarding and disembarking  smooth take offs and landings. All in all a very pleasant experience.,flights on time  quick and efficient boarding and disembarking  smooth take offs and landings,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,
4,Airline Quality Airline,adria-airways,A319,Economy Class,,Family Leisure,,August 2015,,Manchester to Ljubljana,5,,,,5,,,,,,,,,,,5,,,,,,4,1,yes,2nd September 2015,Excellent flights both ways with Adria Airways from Manchester to Ljubljana. Staff friendly but unobtrusive. Leg room far better than most economy flights  seats comfy and plenty of storage space. Flights on time  quick and efficient boarding and disembarking  smooth take offs and landings. All in all a very pleasant experience.,all in all a very pleasant experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
5,Airline Quality Airline,aegean-airlines,A320-200,Economy Class,,Business,,March 2015,,Zurich to Athens,5,,,4,4,,,,,,,,,,,4,,,,,,5,8,yes,20th June 2015,I am always impressed with the pleasant attitude  responsive service and  warmth of cabin crew. The ground service is good  and the food is on the good side. On the other hand  most of their planes are starting to show their age and sometimes the seats are really worn out.,i am always impressed with the pleasant attitude  responsive service and  warmth of cabin crew,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
6,Airline Quality Airline,aegean-airlines,A320-200,Economy Class,,Business,,March 2015,,Zurich to Athens,5,,,4,4,,,,,,,,,,,4,,,,,,5,8,yes,20th June 2015,I am always impressed with the pleasant attitude  responsive service and  warmth of cabin crew. The ground service is good  and the food is on the good side. On the other hand  most of their planes are starting to show their age and sometimes the seats are really worn out.,the ground service is good  and the food is on the good side,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
7,Airline Quality Airline,aegean-airlines,A320-200,Economy Class,,Business,,March 2015,,Zurich to Athens,5,,,4,4,,,,,,,,,,,4,,,,,,5,8,yes,20th June 2015,I am always impressed with the pleasant attitude  responsive service and  warmth of cabin crew. The ground service is good  and the food is on the good side. On the other hand  most of their planes are starting to show their age and sometimes the seats are really worn out.,on the other hand  most of their planes are starting to show their age and sometimes the seats are really worn out,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,Airline Quality Airline,aegean-airlines,A320 / A321,Economy Class,,Couple Leisure,,September 2014,,Arlanda to Santorini via Athens,4,,,4,4,,,,,,,,,,,4,,,,,,5,9,yes,16th June 2015,Very good flight  nice to be offered a hot meal on the ARN-ATH leg with complimentary drinks (two rounds)  nice and rather spacious seats and legroom on the ARN-ATH leg  On the ATH-JTK / JTK-ATH Leg they used a A321 with cramped max tight config so almost no legroom  but it is a very short flight so it was ok  only a small snack  no drinks but I dont think they would have time to serve on this short flight. ATH-ARN was again great legroom and also served a hot breakfast. For what we pay it is great value  far better than many other competing airlines  the planes are also new and clean. Only drawback is that there is no entertainment provided on the 3 hr flight  why not show a movie.,very good flight  nice to be offered a hot meal on the arn-ath leg with complimentary drinks (two rounds)  nice and rather spacious seats and legroom on the arn-ath leg  on the ath-jtk / jtk-ath leg they used a a321 with cramped max tight config so almost no legroom  but it is a very short flight so it was ok  only a small snack  no drinks but i dont think they would have time to serve on this short flight,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,
9,Airline Quality Airline,aegean-airlines,A320 / A321,Economy Class,,Couple Leisure,,September 2014,,Arlanda to Santorini via Athens,4,,,4,4,,,,,,,,,,,4,,,,,,5,9,yes,16th June 2015,Very good flight  nice to be offered a hot meal on the ARN-ATH leg with complimentary drinks (two rounds)  nice and rather spacious seats and legroom on the ARN-ATH leg  On the ATH-JTK / JTK-ATH Leg they used a A321 with cramped max tight config so almost no legroom  but it is a very short flight so it was ok  only a small snack  no drinks but I dont think they would have time to serve on this short flight. ATH-ARN was again great legroom and also served a hot breakfast. For what we pay it is great value  far better than many other competing airlines  the planes are also new and clean. Only drawback is that there is no entertainment provided on the 3 hr flight  why not show a movie.,ath-arn was again great legroom and also served a hot breakfast,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,Airline Quality Airline,aegean-airlines,A320 / A321,Economy Class,,Couple Leisure,,September 2014,,Arlanda to Santorini via Athens,4,,,4,4,,,,,,,,,,,4,,,,,,5,9,yes,16th June 2015,Very good flight  nice to be offered a hot meal on the ARN-ATH leg with complimentary drinks (two rounds)  nice and rather spacious seats and legroom on the ARN-ATH leg  On the ATH-JTK / JTK-ATH Leg they used a A321 with cramped max tight config so almost no legroom  but it is a very short flight so it was ok  only a small snack  no drinks but I dont think they would have time to serve on this short flight. ATH-ARN was again great legroom and also served a hot breakfast. For what we pay it is great value  far better than many other competing airlines  the planes are also new and clean. Only drawback is that there is no entertainment provided on the 3 hr flight  why not show a movie.,for what we pay it is great value  far better than many other competing airlines  the planes are also new and clean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
