,REVIEW,LABEL_SEAT,LABEL_BED,LABEL_IFE,LABEL_FOOD,LABEL_NOISE,LABEL_TEMPERATURE,LABEL_HUMIDITY,LABEL_CABIN CREW,LABEL_LAVATORY SPACE,LABEL_PRICE,LABEL_LOST BAGGAGE,LABEL_CHECK IN,LABEL_PUNCTUALITY,LABEL_ATTRACTIVE AIRCRAFT,LABEL_SAV,LABEL_BOARDING,LABEL_GENERAL
0, Points positifs : The crew was very nice and helpful. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1," Points positifs : I was upgraded to business:)
Nevertheless, my husband was in th cabin (economy) and loved it. More space than other companies.
 ",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
2, Points négatifs : Even in business seats were tight. Tray table fell down every time the man in the seat in front of me moved. Not much of a breakfast.  ,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3, Points négatifs : It sucked you are not allowed to take a suitcase I don't understand why ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
4, Points négatifs : Too much mayonnaise on the sandwiches for my taste ,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5, Points négatifs : late again  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
6, Points négatifs : late again  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
7, Points négatifs : late flight ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
8, Bus to planePoints positifs : Easy to get thru security and it was nice to have a free bag check.Points négatifs : I didn't like taking a bus to the plane out on the tarmac. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9," Points positifs : It was easier to get my boarding pass with adria than some others companies 
Points négatifs : There were no checked luggage in the return flight ( zagreb Paris by Vienna ) even if we had one for the flight Paris - Zagreb  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
10, Points négatifs : Please include my United FF#  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
11," Points négatifs : Check-in at the frankfurt airport was very confusing. Took a long time to discern that Ardia airways was an umbrella under lhfusana airlines, and that check-ins were together. Check/in sinage could be improved. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12," Points positifs : that we got to AMSPoints négatifs : 1. My friend and I were taken out of our regular flight from LJU to AMS and placed on another flight which diverted us to Munich and then AMS
2. In this change of flight my friend and I were separated
3. The flight took longer and it was uncomfortable to have to switch planes again
4. We missed our dinner appointment with my other friend in Amsterdam, ruining our night out
5. I received no explanation for this change and no compensation for having been taken out of our flight ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
13, Arrived almost on timePoints positifs : Direct boarding from the airportPoints négatifs : Even no newspapers ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
14, overall good Points positifs : The crew was extremely nice and the flight was quick and on time. And a very good value.Points négatifs : The airplane was quite uncomfortable and with bad amenities. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
15, Points négatifs : Connection time spent in the second security line was ridiculous. Flight was already boarding by the time I got through. And the trip going back to Skopje has even less time to transition. Otherwise great. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
16," The Spirit Airlines of SloveniaPoints positifs : The headline gets the point across to American travelers. For the Europeans out there, substitute Ryan for Spirit. There ya go.Points négatifs : Nickel and dime time. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
17, Points positifs : It was good! ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
18," Points positifs : Even though my flight to Pristina was canceled, I ilked the services provided to accommodate the rest of the trip. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0
19, Points négatifs : Service onboard the plane was pretty bad. Very intolerant and dismissive staff. Would think twice before flying with them again. ,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
20, Points positifs : Very easy flight. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21, Points positifs : Simple and easy ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
22, No preboarding baggage options from CDG airport to LJB Points négatifs : You couldn't check in online with flights from Paris and you couldn't add a checked bag online with flights booked through a third party. Our checked bag ended up costing 35 at the airport rather then the 15 advertised online. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
23," Short, sweet flightPoints positifs : Friendliness of the crew, very comfortable seats. ",2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
24," Points positifs : It was a 55 minute flight, I had my own row to sit in, and I met some amazing people before boarding...what else is there? ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
25," Short, Pleasant FlightPoints positifs : Quick boarding and departure, no entertainment really required on such a short flight. ",0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
26," Dishonest advertisingPoints positifs : The flight itself was finePoints négatifs : Their site offered better prices for paying for luggage ahead of time but wouldn't let me do it saying I hadn't paid in euros. I didn't have capacity to call them internationally without it costing a fortune waiting on the machines. Re: euros, that's a bunch of hogwash because the charging always gets changed into whatever currency. In other words, false advertising to excuse costing a fortune for my two bags (the equivalent of a 2nd flight). Outrageous! I doubt I'll fly them again ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0
27, Points positifs : Smooth flying despite being on a smaller plane. Check-in staff at Ljubljana airport were very nice and very helpful. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28," In but not all the wayPoints positifs : Nice enough equipment and attendants were politePoints négatifs : But... attendants really didn't check how passengers were doing. In particular, they never did come for my empty coke can. Also... Star Alliance airlines should give consistent service. With Adria, a coke cost me 2.5 Euros. ",0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29, Good value Points positifs : Everything was goodPoints négatifs : Have to pay for your luggage outside of the check in area ,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
30," Points positifs : Efficient, on time departure and arrival. Comfortable cabin. Friendly crew. ",2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
31," Points positifs : It was short.Points négatifs : Plane was just OK (hey, I'm old, too. I understand ""old""). Nothing offered (coffee that early in the morning would have been nice). For a ""milk run"",(that seemed to be how it was treated) all was OK. My carry on, veteran of 6 contintal trips and 20 filghts with different carriers, suddenly didn't fit but they were nice about stowing it. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-1.0,0.0,0.0
32, Points positifs : Nice staff on board. Carryon was checked easily.Points négatifs : Wasn't on long enough to have any problems.  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33," Easy flight and free wifiPoints positifs : Free wifi
Well organized flight ",0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34, Points positifs : Free luggage! Points négatifs : Nothing ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35, Points positifs : Very comfortable seats - boarding and checking in were very easy and quick - plane left on time and the pilot was very smooth at take off and landing  ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
36," Points positifs : Short flight, friendly crewPoints négatifs : Plane got uncomfortably hot for the last half hour of the flight. The seat fans were blowing out hot air. ",-1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37," Points positifs : A very good experience, on time, courteous staff  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
38," Points négatifs : Late/delays. No one tells anything.
No vouchers for food althou flight was belated for more than 5 hours and they offered sandwiches for sale when onboard.
 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
39, Points négatifs : Flight departed 5 hrs late ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
40," Points positifs : Lufthansa, changed my flights after I purchased them. I ended up flying through Frankfort instead of Munich ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
41," Points positifs : As mentioned above my main concern on this trip was my cats transport ,comfort and safety and along with Lufthansa Adria came through admirably. Thank you. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
42," Was not informed of flight changePoints positifs : The Adria Airline representative in the office at Sarajevo Airport was fantastic-- kind, professional, and he helped us find and alternate flight. Points négatifs : Our flight departure time was changed and left several hours earlier. But we were never informed. So we missed it. Luckily the representative at the office found us a different airline.  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.0,0.0,0.0
43, Points positifs : In flight is clean.Points négatifs : Transit time is too short. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
44, Points positifs : NothingPoints négatifs : Lengthy delay in departure with very little information provided.  ,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0
45," Points négatifs : I will never fly Adria again. I try to check in my luggage on line and it wouldn't let me, instead of paying $16.00 on line, I paid $50 at the aeroport. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
46, Points négatifs : You couldn't check in online with flights from Paris and you couldn't add a checked bag online with flights booked through a third party. Our checked bag ended up costing 35 at the airport rather then the 15 advertised online. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47, Points négatifs : Baggage handling is terrible and awkward ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48, Fantastic flightPoints positifs : Punctual and extremely smooth flight! Flight attendant was extremely pleasant and helpful! ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
49," Extremely long line and rude attendants at check iPoints négatifs : There were only 2 attendants working to check in the flight. One was on her first day of the job. The line was extremely long and the process very slow with no communication as to what was happening. When the new attendants system shut down , the working attendant should have switched to a process of alternating between lines. People were angry and confused and there was no communication.  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
50, Points négatifs : The flight from Berlin to Tallinn was delayed. My bag was also damaged on the flight.  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0
51," Well run professional airlinePoints positifs : Check in was a breeze online, service at the airport was prompt and polite. No problem whatsoever. ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52, Excellent servicePoints positifs : I really liked the service as well as the crew. Extremely helpful and professional. I would not hesitate to recommend Adria Airways to anyone else. They provide a crucial service and the direct flight from Prishtina to London is a savior.  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
53," Points négatifs : cancelled……We were changed to Tallinn-Stockholm, Stockholm-Vilnius.  ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
54, Points positifs : The crew was very nice and helpful. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55, Points positifs : Comfortable flights. On time. Nice staff. Points négatifs : Food was not great.  ,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
56, Points négatifs : Air pressure in cabin was terrible  ,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57, Points négatifs : The food honestly ,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58, Points positifs : Good space between seats. Points négatifs : Ha ,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59," Points positifs : Efficient.
It was a very short flight.Points négatifs : Offer of Wi-Fi. ",0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
