,Data_Source,Airline_name,Aircraft_Type,Category,Flight_Type,Count,Total_seat,Seat_Class,Seat_Type,Seat_Position,Recline,Premium,Pitch_minimum,Pitch_maximum,Width,Bedlength_maximum,Bedlength_minimum,Music,VideoType,Power_available,Power_kind,Usb_available,Usb_kind,Rating,Constructor
0,SeatGuru,aegean-airlines,Airbus A319-100,ECONOMY,short haul,138,138,Economy,STANDARD,BULKHEAD,,N,30,30,18.0,,,NONE,NONE,NONE,,NONE,,2,Airbus
1,SeatGuru,aegean-airlines,Airbus A319-100,ECONOMY,short haul,138,138,Economy,STANDARD,NORMAL,,N,30,30,18.0,,,NONE,NONE,NONE,,NONE,,2,Airbus
2,SeatGuru,aegean-airlines,Airbus A319-100,ECONOMY,short haul,138,138,Economy,STANDARD,EXIT_ROW,,N,30,30,18.0,,,NONE,NONE,NONE,,NONE,,5,Airbus
3,SeatGuru,aegean-airlines,Airbus A319-100,ECONOMY,short haul,138,138,Economy,STANDARD,NORMAL,,N,30,30,18.0,,,NONE,NONE,NONE,,NONE,,3,Airbus
4,SeatGuru,aegean-airlines,Airbus A319-100,ECONOMY,short haul,138,138,Economy,STANDARD,NORMAL,,N,30,30,18.0,,,NONE,NONE,NONE,,NONE,,1,Airbus
5,SeatGuru,aegean-airlines,Airbus A320-200,ECONOMY,short haul,174,174,Economy,STANDARD,BULKHEAD,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,2,Airbus
6,SeatGuru,aegean-airlines,Airbus A320-200,ECONOMY,short haul,174,174,Economy,STANDARD,NORMAL,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,2,Airbus
7,SeatGuru,aegean-airlines,Airbus A320-200,ECONOMY,short haul,174,174,Economy,STANDARD,EXIT_ROW,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,2,Airbus
8,SeatGuru,aegean-airlines,Airbus A320-200,ECONOMY,short haul,174,174,Economy,STANDARD,EXIT_ROW,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,5,Airbus
9,SeatGuru,aegean-airlines,Airbus A320-200,ECONOMY,short haul,174,174,Economy,STANDARD,NORMAL,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,3,Airbus
10,SeatGuru,aegean-airlines,Airbus A320-200,ECONOMY,short haul,174,174,Economy,STANDARD,NORMAL,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,1,Airbus
11,SeatGuru,aegean-airlines,Airbus A321-200,ECONOMY,long haul,196,196,Economy,STANDARD,BULKHEAD,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,2,Airbus
12,SeatGuru,aegean-airlines,Airbus A321-200,ECONOMY,long haul,196,196,Economy,STANDARD,EXIT_ROW,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,5,Airbus
13,SeatGuru,aegean-airlines,Airbus A321-200,ECONOMY,long haul,196,196,Economy,STANDARD,NORMAL,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,3,Airbus
14,SeatGuru,aegean-airlines,Airbus A321-200,ECONOMY,long haul,196,196,Economy,STANDARD,NORMAL,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,2,Airbus
15,SeatGuru,aegean-airlines,Airbus A321-200,ECONOMY,long haul,196,196,Economy,STANDARD,NORMAL,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,5,Airbus
16,SeatGuru,aegean-airlines,Airbus A321-200,ECONOMY,long haul,196,196,Economy,STANDARD,NORMAL,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,1,Airbus
17,SeatGuru,aegean-airlines,Airbus A321-200,ECONOMY,long haul,196,196,Economy,STANDARD,EXIT_ROW,,N,30,30,18.0,,,YES,OVERHEAD,NONE,,NONE,,2,Airbus
18,SeatGuru,aegean-airlines,ATR 42-600,ECONOMY,short haul,48,48,Economy,STANDARD,EXIT_ROW,,N,30,30,17.0,,,NONE,NONE,NONE,,NONE,,2,Others
19,SeatGuru,aegean-airlines,ATR 42-600,ECONOMY,short haul,48,48,Economy,STANDARD,NORMAL,,N,30,30,17.0,,,NONE,NONE,NONE,,NONE,,3,Others
20,SeatGuru,aegean-airlines,ATR 42-600,ECONOMY,short haul,48,48,Economy,STANDARD,NORMAL,,N,30,30,17.0,,,NONE,NONE,NONE,,NONE,,2,Others
21,SeatGuru,aegean-airlines,ATR 42-600,ECONOMY,short haul,48,48,Economy,STANDARD,NORMAL,,N,30,30,17.0,,,NONE,NONE,NONE,,NONE,,1,Others
22,SeatGuru,aegean-airlines,ATR 42-600,ECONOMY,short haul,48,48,Economy,STANDARD,EXIT_ROW,,N,30,30,17.0,,,NONE,NONE,NONE,,NONE,,5,Others
23,SeatGuru,aegean-airlines,Bombardier Dash 8 Q400,ECONOMY,short haul,78,78,Economy,STANDARD,EXIT_ROW,,N,30,30,17.0,,,NONE,NONE,NONE,,NONE,,4,Others
24,SeatGuru,aegean-airlines,Bombardier Dash 8 Q400,ECONOMY,short haul,78,78,Economy,STANDARD,NORMAL,,N,30,30,17.0,,,NONE,NONE,NONE,,NONE,,3,Others
25,SeatGuru,aegean-airlines,Bombardier Dash 8 Q400,ECONOMY,short haul,78,78,Economy,STANDARD,NORMAL,,N,30,30,17.0,,,NONE,NONE,NONE,,NONE,,1,Others
26,SeatGuru,aeroflot,Russian Airlines Airbus 330 200,BUSINESS,long haul,34,241,Business,ANGLE_FLAT,BULKHEAD,166 degrees,A,60,60,26.7,,,ON_DEMAND,ON_DEMAND,ALL,AC,ALL,PORT,2,Airbus
27,SeatGuru,aeroflot,Russian Airlines Airbus 330 200,ECONOMY,long haul,207,241,Economy,STANDARD,BULKHEAD,,N,31,31,18.0,,,ON_DEMAND,ON_DEMAND,NONE,,ALL,PORT,3,Airbus
28,SeatGuru,aeroflot,Russian Airlines Airbus 330 200,ECONOMY,long haul,207,241,Economy,STANDARD,NORMAL,,N,31,31,18.0,,,ON_DEMAND,ON_DEMAND,NONE,,ALL,PORT,3,Airbus
29,SeatGuru,aeroflot,Russian Airlines Airbus 330 200,BUSINESS,long haul,34,241,Business,ANGLE_FLAT,NORMAL,166 degrees,A,60,60,26.7,,,ON_DEMAND,ON_DEMAND,ALL,AC,ALL,PORT,3,Airbus
